phase,model_velocity_ms
5.288220551378446377e-01,2.479845933558137094e+00
5.313283208020049830e-01,2.419965787477911690e+00
5.338345864661653284e-01,2.359850737552658728e+00
5.363408521303257848e-01,2.299497036501918945e+00
5.388471177944862411e-01,2.238900871551835259e+00
5.413533834586465865e-01,2.178058363111248230e+00
5.438596491228069318e-01,2.116965563401394412e+00
5.463659147869673882e-01,2.055618455037995229e+00
5.488721804511278446e-01,1.994012949564552883e+00
5.513784461152881899e-01,1.932144885935562328e+00
5.538847117794485353e-01,1.870010028948384750e+00
5.563909774436089917e-01,1.807604067622290422e+00
5.588972431077694480e-01,1.744922613523222754e+00
5.614035087719297934e-01,1.681961199032800280e+00
5.639097744360901387e-01,1.618715275559909017e+00
5.664160401002505951e-01,1.555180211693155456e+00
5.689223057644110515e-01,1.491351291292486447e+00
5.714285714285713969e-01,1.427223711518088134e+00
5.739348370927317422e-01,1.362792580794644159e+00
5.764411027568921986e-01,1.298052916708894777e+00
5.789473684210526550e-01,1.232999643838449177e+00
5.814536340852130003e-01,1.167627591509624807e+00
5.839598997493733457e-01,1.101931491481897396e+00
5.864661654135338020e-01,1.035905975556787872e+00
5.889724310776942584e-01,9.695455731083938433e-01
5.914786967418546038e-01,9.028447085331613442e-01
5.939849624060149491e-01,8.357976986160130517e-01
5.964912280701754055e-01,7.683987498100667279e-01
5.989974937343358619e-01,7.006419554268098482e-01
6.015037593984962072e-01,6.325212927338228486e-01
6.040100250626565526e-01,5.640306199565511269e-01
6.065162907268170089e-01,4.951636731808741754e-01
6.090225563909774653e-01,4.259140631528787191e-01
6.115288220551378107e-01,3.562752719721248296e-01
6.140350877192981560e-01,2.862406496744395179e-01
6.165413533834586124e-01,2.158034107003592439e-01
6.190476190476190688e-01,1.449566302448497823e-01
6.215538847117794141e-01,7.369324048387848602e-02
6.240601503759397595e-01,2.006026673385674641e-03
6.265664160401002158e-01,-7.011237688438459736e-02
6.290726817042606722e-01,-1.426694910120693827e-01
6.315789473684210176e-01,-2.156729959712287981e-01
6.340852130325813629e-01,-2.891307359247217712e-01
6.365914786967418193e-01,-3.630507235531315602e-01
6.390977443609022757e-01,-4.374411448313741957e-01
6.416040100250626210e-01,-5.123103639715594904e-01
6.441102756892229664e-01,-5.876669285388671504e-01
6.466165413533834228e-01,-6.635195747472414363e-01
6.491228070175438791e-01,-7.398772329419804894e-01
6.516290726817042245e-01,-8.167490332768907457e-01
6.541353383458645698e-01,-8.941443115937949271e-01
6.566416040100250262e-01,-9.720726155125135604e-01
6.591478696741854826e-01,-1.050543710740108327e+00
6.616541353383458279e-01,-1.129567587608165891e+00
6.641604010025061733e-01,-1.209154467847760595e+00
6.666666666666666297e-01,-1.289314811611713463e+00
6.691729323308270860e-01,-1.370059324754676844e+00
6.716791979949874314e-01,-1.451398966381678868e+00
6.741854636591477767e-01,-1.533344956676535809e+00
6.766917293233082331e-01,-1.615908785021896943e+00
6.791979949874686895e-01,-1.699102218423378385e+00
6.817042606516290348e-01,-1.782937310250708673e+00
6.842105263157893802e-01,-1.867426409309576041e+00
6.867167919799498366e-01,-1.952582169258311406e+00
6.892230576441102929e-01,-2.038417558384421291e+00
6.917293233082706383e-01,-2.124945869756552863e+00
6.942355889724309836e-01,-2.212180731768319308e+00
6.967418546365914400e-01,-2.300136119091104270e+00
6.992481203007518964e-01,-2.388826364053905582e+00
7.017543859649122417e-01,-2.478266168468954866e+00
7.042606516290725871e-01,-2.568470615922973987e+00
7.067669172932330435e-01,-2.659455184554763818e+00
7.092731829573934998e-01,-2.751235760340692948e+00
7.117794486215538452e-01,-2.843828650910964928e+00
7.142857142857141906e-01,-2.937250599920375294e+00
7.167919799498746469e-01,-3.031518801998521084e+00
7.192982456140351033e-01,-3.126650918305654780e+00
7.218045112781954487e-01,-3.222665092721415547e+00
7.243107769423557940e-01,-3.319579968695270722e+00
7.268170426065162504e-01,-3.417414706788501011e+00
7.293233082706767068e-01,-3.516189002939194896e+00
7.318295739348370521e-01,-3.615923107483201004e+00
7.343358395989973975e-01,-3.716637844965208881e+00
7.368421052631578538e-01,-3.818354634776013778e+00
7.393483709273183102e-01,-3.921095512653553161e+00
7.418546365914786556e-01,-4.024883153086748599e+00
7.443609022556390009e-01,-4.129740892663243734e+00
7.468671679197994573e-01,-4.235692754403681981e+00
7.493734335839599137e-01,-4.342763473126932006e+00
7.518796992481202590e-01,-4.450978521892670514e+00
7.543859649122806044e-01,-4.560364139569482056e+00
7.568922305764410607e-01,-4.670947359578410563e+00
7.593984962406015171e-01,-4.782756039864039188e+00
7.619047619047618625e-01,-4.895818894146645839e+00
7.644110275689222078e-01,-5.010165524511145385e+00
7.669172932330826642e-01,-5.125826455390143366e+00
7.694235588972431206e-01,-5.242833168999800009e+00
7.719298245614034659e-01,-5.361218142289469135e+00
7.744360902255638113e-01,-5.481014885466456654e+00
7.769423558897242676e-01,-5.602257982159351890e+00
7.794486215538847240e-01,-5.724983131283484461e+00
7.819548872180450694e-01,-5.849227190673076393e+00
7.844611528822054147e-01,-5.975028222544460199e+00
7.869674185463658711e-01,-6.102425540854493846e+00
7.894736842105263275e-01,-6.231459760616904653e+00
7.919799498746866728e-01,-6.362172849237875738e+00
7.944862155388470182e-01,-6.494608179928610170e+00
7.969924812030074746e-01,-6.628810587249511777e+00
7.994987468671679309e-01,-6.764826424834308405e+00
8.020050125313282763e-01,-6.902703625336063631e+00
8.045112781954886216e-01,-7.042491762627579810e+00
8.070175438596490780e-01,-7.184242116277585133e+00
8.095238095238095344e-01,-7.328007738309508134e+00
8.120300751879698797e-01,-7.473843522232451519e+00
8.145363408521302251e-01,-7.621806274312184826e+00
8.170426065162906815e-01,-7.771954787023784839e+00
8.195488721804511378e-01,-7.924349914595614663e+00
8.220551378446114832e-01,-8.079054650515992364e+00
