time_days,model_velocity_ms,truth_velocity_ms
1.632538874554067263e+02,2.780809312323513183e+01,2.617921310870917750e+01
1.634554627463731720e+02,2.746614771961809609e+01,2.586986567233230261e+01
1.636570380373396176e+02,2.712042924094975760e+01,2.555731738853888402e+01
1.638586133283060633e+02,2.677102328398567721e+01,2.524163120269364313e+01
1.640601886192725090e+02,2.641801730999256037e+01,2.492287138497529497e+01
1.642617639102389830e+02,2.606150057856159563e+01,2.460110349372494909e+01
1.644633392012054287e+02,2.570156407902338103e+01,2.427639433738706742e+01
1.646649144921718744e+02,2.533830045958629285e+01,2.394881193509261763e+01
1.648664897831383200e+02,2.497180395431999145e+01,2.361842547593591490e+01
1.650680650741047657e+02,2.460217030811490346e+01,2.328530527699926367e+01
1.652696403650712114e+02,2.422949669975105991e+01,2.294952274018254812e+01
1.654712156560376854e+02,2.385388166321700254e+01,2.261115030789727598e+01
1.656727909470041311e+02,2.347542500742106242e+01,2.227026141768652678e+01
1.658743662379705768e+02,2.309422773444157428e+01,2.192693045583515499e+01
1.660759415289370224e+02,2.271039195646907416e+01,2.158123271003575994e+01
1.662775168199034681e+02,2.232402081158977580e+01,2.123324432117848559e+01
1.664790921108699422e+02,2.193521837856931000e+01,2.088304223433404516e+01
1.666806674018363879e+02,2.154408959079129815e+01,2.053070414900097163e+01
1.668822426928028335e+02,2.115074014951022008e+01,2.017630846868861028e+01
1.670838179837692792e+02,2.075527643657787280e+01,1.981993424991065567e+01
1.672853932747357248e+02,2.035780542680212690e+01,1.946166115066230162e+01
1.674869685657021705e+02,1.995843460009725590e+01,1.910156937845643910e+01
1.676885438566686446e+02,1.955727185358362163e+01,1.873973963799466702e+01
1.678901191476350903e+02,1.915442541379563224e+01,1.837625307854889201e+01
1.680916944386015359e+02,1.875000374914834467e+01,1.801119124112958758e+01
1.682932697295679816e+02,1.834411548282354687e+01,1.764463600551698619e+01
1.684948450205344272e+02,1.793686930621543141e+01,1.727666953723091581e+01
1.686964203115008729e+02,1.752837389309370408e+01,1.690737423451482613e+01
1.688979956024673470e+02,1.711873781461730459e+01,1.653683267540866808e+01
1.690995708934337927e+02,1.670806945534823029e+01,1.616512756498517689e+01
1.693011461844002383e+02,1.629647693039155598e+01,1.579234168282203399e+01
1.695027214753666840e+02,1.588406800379924455e+01,1.541855783078219488e+01
1.697042967663331297e+02,1.547095000836024781e+01,1.504385878117336617e+01
1.699058720572995753e+02,1.505722976689666126e+01,1.466832722535542288e+01
1.701074473482660494e+02,1.464301351518256844e+01,1.429204572286352182e+01
1.703090226392324951e+02,1.422840682659311362e+01,1.391509665111309957e+01
1.705105979301989407e+02,1.381351453858737521e+01,1.353756215574956201e+01
1.707121732211653864e+02,1.339844068112046394e+01,1.315952410170651454e+01
1.709137485121318321e+02,1.298328840707748810e+01,1.278106402503041750e+01
1.711153238030983061e+02,1.256815992480974487e+01,1.240226308553024381e+01
1.713168990940647518e+02,1.215315643285390479e+01,1.202320202030693963e+01
1.715184743850311975e+02,1.173837805690089553e+01,1.164396109821521819e+01
1.717200496759976431e+02,1.132392378908151009e+01,1.126462007530784248e+01
1.719216249669640888e+02,1.090989142962256864e+01,1.088525815131042052e+01
1.721232002579305345e+02,1.049637753092602743e+01,1.050595392716998333e+01
